tora_id,lat,long
24764,58.9733,16.2157
24750,59.294,16.3457
24749,58.8638,16.5255
24747,59.2619,16.566
24729,59.3148,16.7959
24720,59.0038,16.6823
24719,59.2078,16.2348
24713,59.2766,16.488
24702,58.8874,16.4858
24700,58.7588,17.2941
24699,59.2213,16.3155
24698,59.1849,16.2858
24693,59.1185,16.3612
24688,59.2983,16.2959
24677,59.4131,16.8851
24324,59.2285,16.2897
24294,59.0319,15.686
23996,58.9644,16.4812
23992,58.8705,16.5194
23991,59.3585,16.8083
23989,58.9627,16.4985
23983,59.1403,16.0619
23979,58.7875,17.2717
23978,59.2998,16.3639
23436,60.439,15.4524
25898,58.2693,15.9324
25897,60.2879,13.0439
25896,59.7176,17.2746
25299,58.7018,15.5414
25298,58.008,15.4803
25297,58.2842,16.7823
25296,58.3445,15.599
25295,58.3855,15.6469
25294,58.4378,16.0807
25293,58.1847,16.7884
25292,58.4506,15.4301
25291,57.9099,15.8334
25290,58.0779,15.7857
25289,58.2963,15.8439
25288,58.2036,15.6517
25287,58.3968,15.5813
25286,58.2505,15.5232
25285,58.4668,15.8604
25284,58.4125,16.3417
25283,58.923,15.9817
25282,58.3324,15.4517
25281,58.091,15.8697
25280,58.3761,15.3618
25279,58.3392,15.2284
25278,58.5829,16.3789
